Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
-1.7205420368774056,-0.9006811702978084,1.032057224488957,-1.341272404759832,-1.3129767272601451,-1.224744871391589
-1.697447512892474,-1.14301691118511,-0.12495760117130862,-1.341272404759832,-1.3129767272601451,-1.224744871391589
-1.6743529889075424,-1.3853526520724126,0.33784832909279805,-1.398138108749084,-1.3129767272601451,-1.224744871391589
-1.6512584649226107,-1.5065205225160647,0.10644536396074468,-1.2844067007705795,-1.3129767272601451,-1.224744871391589
-1.6281639409376791,-1.021849040741459,1.2634601896210105,-1.341272404759832,-1.3129767272601451,-1.224744871391589
-1.6050694169527475,-0.5371775589668536,1.9576690850171696,-1.170675292792075,-1.0500307872213979,-1.224744871391589
-1.581974892967816,-1.5065205225160647,0.8006542593569038,-1.341272404759832,-1.1815037572407714,-1.224744871391589
-1.5588803689828843,-1.021849040741459,0.8006542593569038,-1.2844067007705795,-1.3129767272601451,-1.224744871391589
-1.535785844997953,-1.7488562634033664,-0.35636056630336205,-1.341272404759832,-1.3129767272601451,-1.224744871391589
-1.512691321013021,-1.14301691118511,0.10644536396074468,-1.2844067007705795,-1.4444496972795187,-1.224744871391589
-1.4895967970280894,-0.5371775589668536,1.4948631547530637,-1.2844067007705795,-1.3129767272601451,-1.224744871391589
-1.4665022730431578,-1.264184781628762,0.8006542593569038,-1.2275409967813273,-1.3129767272601451,-1.224744871391589
-1.4434077490582262,-1.264184781628762,-0.12495760117130862,-1.341272404759832,-1.4444496972795187,-1.224744871391589
-1.4203132250732946,-1.8700241338470185,-0.12495760117130862,-1.511869516727589,-1.4444496972795187,-1.224744871391589
-1.397218701088363,-0.05250607719224903,2.1890720501492233,-1.4550038127383367,-1.3129767272601451,-1.224744871391589
-1.3741241771034314,-0.17367394763589994,3.1146839106774364,-1.2844067007705795,-1.0500307872213979,-1.224744871391589
-1.3510296531184998,-0.5371775589668536,1.9576690850171696,-1.398138108749084,-1.0500307872213979,-1.224744871391589
-1.327935129133568,-0.9006811702978084,1.032057224488957,-1.341272404759832,-1.1815037572407714,-1.224744871391589
-1.3048406051486363,-0.17367394763589994,1.7262661198851164,-1.170675292792075,-1.1815037572407714,-1.224744871391589
-1.281746081163705,-0.9006811702978084,1.7262661198851164,-1.2844067007705795,-1.1815037572407714,-1.224744871391589
-1.2586515571787733,-0.5371775589668536,0.8006542593569038,-1.170675292792075,-1.3129767272601451,-1.224744871391589
-1.2355570331938417,-0.9006811702978084,1.4948631547530637,-1.2844067007705795,-1.0500307872213979,-1.224744871391589
-1.21246250920891,-1.5065205225160647,1.2634601896210105,-1.5687352207168415,-1.3129767272601451,-1.224744871391589
-1.1893679852239785,-0.9006811702978084,0.5692512942248504,-1.170675292792075,-0.9185578172020239,-1.224744871391589
-1.1662734612390466,-1.264184781628762,0.8006542593569038,-1.0569438848135704,-1.3129767272601451,-1.224744871391589
-1.143178937254115,-1.021849040741459,-0.12495760117130862,-1.2275409967813273,-1.3129767272601451,-1.224744871391589
-1.1200844132691834,-1.021849040741459,0.8006542593569038,-1.2275409967813273,-1.0500307872213979,-1.224744871391589
-1.0969898892842518,-0.7795132998541564,1.032057224488957,-1.2844067007705795,-1.3129767272601451,-1.224744871391589
-1.0738953652993202,-0.7795132998541564,0.8006542593569038,-1.341272404759832,-1.3129767272601451,-1.224744871391589
-1.0508008413143886,-1.3853526520724126,0.33784832909279805,-1.2275409967813273,-1.3129767272601451,-1.224744871391589
-1.027706317329457,-1.264184781628762,0.10644536396074468,-1.2275409967813273,-1.3129767272601451,-1.224744871391589
-1.004611793344525,-0.5371775589668536,0.8006542593569038,-1.2844067007705795,-1.0500307872213979,-1.224744871391589
-0.9815172693595938,-0.7795132998541564,2.420475015281275,-1.2844067007705795,-1.4444496972795187,-1.224744871391589
-0.9584227453746622,-0.4160096885232027,2.65187798041333,-1.341272404759832,-1.3129767272601451,-1.224744871391589
-0.9353282213897306,-1.14301691118511,0.10644536396074468,-1.2844067007705795,-1.4444496972795187,-1.224744871391589
-0.912233697404799,-1.021849040741459,0.33784832909279805,-1.4550038127383367,-1.3129767272601451,-1.224744871391589
-0.8891391734198674,-0.4160096885232027,1.032057224488957,-1.398138108749084,-1.3129767272601451,-1.224744871391589
-0.8660446494349356,-1.14301691118511,0.10644536396074468,-1.2844067007705795,-1.4444496972795187,-1.224744871391589
-0.842950125450004,-1.7488562634033664,-0.12495760117130862,-1.398138108749084,-1.3129767272601451,-1.224744871391589
-0.8198556014650724,-0.9006811702978084,0.8006542593569038,-1.2844067007705795,-1.3129767272601451,-1.224744871391589
-0.7967610774801408,-1.021849040741459,1.032057224488957,-1.398138108749084,-1.1815037572407714,-1.224744871391589
